# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Count (DOWNSTREAM)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)
PST130_01089	PST130_01089	mRNA	0	0	214	0	0	606	0	0	663	0	0	57	0	0	2	0	0	32	0	0	0	0	0	0	0	0	0	0	0
PST130_01090	PST130_01090	mRNA	0	0	669	0	0	243	0	0	416	0	0	173	0	0	4	0	0	1017	0	0	0	0	0	0	0	0	0	0	0
PST130_01091	PST130_01091	mRNA	0	0	197	0	0	303	0	0	345	0	0	42	0	0	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0
PST130_01092	PST130_01092	mRNA	0	0	452	0	0	507	0	0	507	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
PST130_01093	PST130_01093	mRNA	0	0	4724	4	0	1800	0	0	1870	0	0	70	0	0	2	0	0	363	0	0	1	0	0	0	0	3	0	0	0
PST130_01094	PST130_01094	mRNA	0	0	763	0	0	2397	0	0	3670	0	0	1273	0	0	22	4	0	2524	0	0	0	0	0	0	0	0	0	0	4
PST130_01095	PST130_01095	mRNA	0	0	348	0	0	441	0	0	610	0	0	169	0	0	2	0	0	4570	0	0	0	0	0	0	0	0	0	0	0
PST130_01096	PST130_01096	mRNA	0	0	3857	0	0	1245	0	0	1313	0	0	68	0	0	2	0	0	358	0	0	0	0	0	0	0	0	0	0	0
PST130_01097	PST130_01097	mRNA	0	0	48	0	0	1257	0	0	1257	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0
PST130_01098	PST130_01098	mRNA	1	0	5000	0	0	1476	0	0	1603	0	0	127	0	0	2	0	0	2339	1	0	0	0	0	0	0	0	0	0	0
PST130_01099	PST130_01099	mRNA	0	0	984	1	0	1551	0	0	1746	0	0	195	0	0	4	0	0	5000	0	0	1	0	0	0	0	0	0	0	0
PST130_01100	PST130_01100	mRNA	0	0	4926	0	0	918	0	0	1617	0	0	699	0	0	14	1	0	3392	0	0	0	0	0	0	0	0	0	0	1
PST130_01101	PST130_01101	mRNA	0	0	26	0	0	1143	0	0	1222	0	0	79	0	0	4	0	0	28	0	0	0	0	0	0	0	0	0	0	0
PST130_01102	PST130_01102	mRNA	0	0	4485	0	0	657	0	0	990	0	0	333	0	0	4	0	0	1009	0	0	0	0	0	0	0	0	0	0	0
PST130_01103	PST130_01103	mRNA	0	0	447	0	0	936	0	0	1292	0	0	356	0	0	8	0	0	462	0	0	0	0	0	0	0	0	0	0	0
PST130_01104	PST130_01104	mRNA	0	0	1862	0	0	288	0	0	301	0	0	13	0	0	4	0	0	38	0	0	0	0	0	0	0	0	0	0	0
PST130_01105	PST130_01105	mRNA	0	0	133	0	0	312	0	0	381	0	0	69	0	0	2	0	0	1783	0	0	0	0	0	0	0	0	0	0	0
PST130_01106	PST130_01106	mRNA	0	0	1252	0	0	204	0	0	399	0	0	195	0	0	2	0	0	646	0	0	0	0	0	0	0	0	0	0	0
PST130_01107	PST130_01107	mRNA	0	0	229	0	0	192	0	0	399	0	0	207	0	0	4	0	0	152	0	0	0	0	0	0	0	0	0	0	0
PST130_01108	PST130_01108	mRNA	0	0	5000	0	0	471	0	0	672	0	0	201	0	0	10	0	0	333	0	0	0	0	0	0	0	0	0	0	0
PST130_01109	PST130_01109	mRNA	0	0	921	0	0	591	0	0	612	0	0	21	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01110	PST130_01110	mRNA	0	0	5000	0	0	732	0	0	816	0	0	84	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01111	PST130_01111	mRNA	0	0	2578	0	0	1110	0	0	1250	0	0	140	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01112	PST130_01112	mRNA	0	0	3918	0	0	375	0	0	640	0	0	265	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01113	PST130_01113	mRNA	3	0	4685	1	0	258	0	0	340	0	0	82	0	0	2	0	0	89	3	0	1	0	0	0	0	0	0	0	0
PST130_01114	PST130_01114	mRNA	0	0	355	3	0	537	0	0	619	0	0	82	0	0	2	1	0	4140	0	0	2	0	0	0	0	1	0	0	1
PST130_01115	PST130_01115	mRNA	0	0	3495	5	0	1932	5	0	2077	0	0	145	0	0	2	0	0	123	0	0	2	0	0	0	0	3	0	0	0
PST130_01116	PST130_01116	mRNA	0	0	359	0	0	393	0	0	773	0	0	380	0	0	4	0	0	574	0	0	0	0	0	0	0	0	0	0	0
PST130_01117	PST130_01117	mRNA	0	0	168	0	0	1008	0	0	1174	0	0	166	0	0	4	0	0	589	0	0	0	0	0	0	0	0	0	0	0
PST130_01118	PST130_01118	mRNA	0	0	3332	0	0	219	0	0	447	0	0	228	0	0	2	0	0	2280	0	0	0	0	0	0	0	0	0	0	0
PST130_01119	PST130_01119	mRNA	0	0	61	0	0	303	0	0	303	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
PST130_01120	PST130_01120	mRNA	0	0	546	0	0	213	0	0	213	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0
PST130_01121	PST130_01121	mRNA	0	0	5000	0	0	3828	0	0	4178	0	0	350	0	0	6	0	0	929	0	0	0	0	0	0	0	0	0	0	0
PST130_01122	PST130_01122	mRNA	0	0	4147	3	0	1584	0	0	1675	0	0	91	0	0	2	0	0	81	0	0	1	0	0	0	0	2	0	0	0
PST130_01123	PST130_01123	mRNA	0	0	1110	0	0	180	0	0	980	0	0	800	0	0	8	0	0	3813	0	0	0	0	0	0	0	0	0	0	0
PST130_01124	PST130_01124	mRNA	0	0	141	0	0	258	0	0	464	0	0	206	0	0	4	3	0	5000	0	0	0	0	0	0	0	0	0	0	3
PST130_01125	PST130_01125	mRNA	0	0	3097	0	0	432	0	0	432	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0
PST130_01126	PST130_01126	mRNA	0	0	1936	0	0	765	0	0	841	0	0	76	0	0	2	0	0	890	0	0	0	0	0	0	0	0	0	0	0
PST130_01127	PST130_01127	mRNA	0	0	332	0	0	648	0	0	758	0	0	110	0	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0
PST130_01128	PST130_01128	mRNA	0	0	1957	0	0	447	0	0	494	0	0	47	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01129	PST130_01129	mRNA	0	0	3229	0	0	354	0	0	548	0	0	194	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01130	PST130_01130	mRNA	0	0	3389	0	0	687	0	0	752	0	0	65	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01131	PST130_01131	mRNA	0	0	547	0	0	558	0	0	1054	0	0	496	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01132	PST130_01132	mRNA	0	0	2526	0	0	753	0	0	812	0	0	59	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01133	PST130_01133	mRNA	0	0	2728	0	0	330	0	0	427	0	0	97	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01134	PST130_01134	mRNA	0	0	1340	0	0	210	0	0	377	0	0	167	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01135	PST130_01135	mRNA	0	0	1315	0	0	189	0	0	820	0	0	631	0	0	2	0	0	45	0	0	0	0	0	0	0	0	0	0	0
PST130_01136	PST130_01136	mRNA	0	0	1349	0	0	363	0	0	407	0	0	44	0	0	2	0	0	424	0	0	0	0	0	0	0	0	0	0	0
PST130_01137	PST130_01137	mRNA	0	0	1156	0	0	438	0	0	475	0	0	37	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	2
PST130_01138	PST130_01138	mRNA	0	0	5000	2	0	1560	0	0	2177	0	0	617	0	0	12	0	0	3533	0	0	0	0	0	1	0	1	0	0	0
PST130_01139	PST130_01139	mRNA	0	0	3346	0	0	318	0	0	1297	0	0	979	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01140	PST130_01140	mRNA	0	0	2652	0	0	258	0	0	266	0	0	8	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01141	PST130_01141	mRNA	0	0	5	0	0	195	0	0	260	0	0	65	0	0	2	0	0	35	0	0	0	0	0	0	0	0	0	0	0
PST130_01142	PST130_01142	mRNA	0	0	17	2	0	339	2	0	644	0	0	305	0	0	4	0	0	157	0	0	1	0	0	1	0	0	0	0	0
PST130_01143	PST130_01143	mRNA	0	0	329	0	0	342	0	0	342	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
PST130_01144	PST130_01144	mRNA	0	0	28	15	0	2349	0	0	2767	0	0	418	0	0	6	0	0	5000	0	0	9	0	0	0	0	6	0	0	0
PST130_01145	PST130_01145	mRNA	15	0	3605	0	0	2982	0	0	3699	0	0	717	0	0	6	0	0	4255	15	0	0	0	0	0	0	0	0	0	0
PST130_01146	PST130_01146	mRNA	0	0	564	0	0	390	0	0	514	0	0	124	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01147	PST130_01147	mRNA	0	0	2345	0	0	555	0	0	877	0	0	322	0	0	8	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01148	PST130_01148	mRNA	1	0	5000	0	0	3798	0	0	5563	0	0	1765	0	0	22	0	0	3456	1	0	0	0	0	0	0	0	0	0	0
PST130_01149	PST130_01149	mRNA	0	0	5000	3	0	1413	2	0	2190	0	0	777	0	0	20	0	0	234	0	0	2	0	0	0	0	1	0	0	0
PST130_01150	PST130_01150	mRNA	0	0	17	0	0	1437	0	0	2006	0	0	569	0	0	14	0	0	147	0	0	0	0	0	0	0	0	0	0	0
PST130_01151	PST130_01151	mRNA	0	0	1123	0	0	1749	0	0	1988	0	0	239	0	0	6	0	0	222	0	0	0	0	0	0	0	0	0	0	0
PST130_01152	PST130_01152	mRNA	0	0	297	0	0	384	0	0	384	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	0	0	0	0	4
PST130_01153	PST130_01153	mRNA	0	0	2380	3	0	2040	0	0	2889	0	0	849	0	0	14	5	0	3912	0	0	1	0	0	0	0	2	0	0	5
PST130_01154	PST130_01154	mRNA	3	0	5000	6	0	1953	0	0	2930	0	0	977	0	0	12	0	0	777	3	0	3	0	0	0	0	3	0	0	0
PST130_01155	PST130_01155	mRNA	0	0	5000	0	0	1593	0	0	2863	0	0	1270	0	0	12	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01156	PST130_01156	mRNA	0	0	5000	0	0	1191	0	0	1335	0	0	144	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01157	PST130_01157	mRNA	0	0	5000	0	0	459	0	0	587	0	0	128	0	0	2	0	0	2322	0	0	0	0	0	0	0	0	0	0	0
PST130_01158	PST130_01158	mRNA	0	0	724	1	0	1395	0	0	3019	0	0	1624	0	0	18	1	0	5000	0	0	0	0	0	0	0	1	0	0	1
PST130_01159	PST130_01159	mRNA	0	0	5000	0	0	1035	0	0	1158	0	0	123	0	0	4	4	0	5000	0	0	0	0	0	0	0	0	0	0	4
PST130_01160	PST130_01160	mRNA	1	0	5000	4	0	1260	0	0	2093	0	0	833	0	0	18	0	0	5000	1	0	0	0	0	0	0	4	0	0	0
PST130_01161	PST130_01161	mRNA	1	0	5000	1	0	873	0	0	1042	0	0	169	0	0	4	0	0	5000	1	0	0	0	0	0	0	1	0	0	0
PST130_01162	PST130_01162	mRNA	0	0	40	0	0	333	0	0	333	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
PST130_01163	PST130_01163	mRNA	0	0	62	0	0	465	0	0	465	0	0	0	0	0	0	0	0	1202	0	0	0	0	0	0	0	0	0	0	0
PST130_01164	PST130_01164	mRNA	2	0	3919	0	0	1095	0	0	1474	0	0	379	0	0	12	0	0	5000	2	0	0	0	0	0	0	0	0	0	0
PST130_01165	PST130_01165	mRNA	3	0	5000	0	0	1392	0	0	2289	0	0	897	0	0	18	0	0	2139	3	0	0	0	0	0	0	0	0	0	0
PST130_01166	PST130_01166	mRNA	0	0	323	5	0	1002	0	0	1719	0	0	717	0	0	14	0	0	5000	0	0	3	0	0	0	0	2	0	0	0
PST130_01167	PST130_01167	mRNA	0	0	3468	8	0	1197	8	0	1197	0	0	0	0	0	0	0	0	345	0	0	1	0	0	0	0	7	0	0	0
PST130_01168	PST130_01168	mRNA	0	0	1	0	0	2820	0	0	2907	0	0	87	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0
PST130_01169	PST130_01169	mRNA	0	0	3470	0	0	702	0	0	1363	0	0	661	0	0	14	0	0	960	0	0	0	0	0	0	0	0	0	0	0
PST130_01170	PST130_01170	mRNA	0	0	1522	0	0	282	0	0	341	0	0	59	0	0	2	0	0	790	0	0	0	0	0	0	0	0	0	0	0
PST130_01171	PST130_01171	mRNA	0	0	21	0	0	597	0	0	1267	0	0	670	0	0	4	0	0	1365	0	0	0	0	0	0	0	0	0	0	0
PST130_01172	PST130_01172	mRNA	0	0	418	0	0	1602	0	0	1602	0	0	0	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0
PST130_01173	PST130_01173	mRNA	0	0	35	0	0	228	0	0	228	0	0	0	0	0	0	0	0	3409	0	0	0	0	0	0	0	0	0	0	0
PST130_01174	PST130_01174	mRNA	0	0	2409	0	0	1077	0	0	1077	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0
PST130_01175	PST130_01175	mRNA	0	0	490	0	0	222	0	0	227	0	0	5	0	0	2	0	0	694	0	0	0	0	0	0	0	0	0	0	0
PST130_01176	PST130_01176	mRNA	0	0	5000	0	0	222	0	0	256	0	0	34	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01177	PST130_01177	mRNA	0	0	957	0	0	2136	0	0	2281	0	0	145	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01178	PST130_01178	mRNA	0	0	5000	14	0	1563	0	0	2038	0	0	475	0	0	14	0	0	5000	0	0	0	0	0	0	0	14	0	0	0
PST130_01179	PST130_01179	mRNA	0	0	3471	0	0	3408	0	0	4098	0	0	690	0	0	16	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01180	PST130_01180	mRNA	0	0	5000	0	0	1983	0	0	2288	0	0	305	0	0	6	14	0	5000	0	0	0	0	0	0	0	0	0	0	14
PST130_01181	PST130_01181	mRNA	0	0	381	0	0	306	0	0	316	0	0	10	0	0	2	0	0	339	0	0	0	0	0	0	0	0	0	0	0
PST130_01182	PST130_01182	mRNA	0	0	3111	0	0	300	0	0	498	0	0	198	0	0	6	0	0	2418	0	0	0	0	0	0	0	0	0	0	0
PST130_01183	PST130_01183	mRNA	0	0	211	0	0	774	0	0	1100	0	0	326	0	0	6	0	0	521	0	0	0	0	0	0	0	0	0	0	0
PST130_01184	PST130_01184	mRNA	0	0	496	1	0	735	1	0	1180	0	0	445	0	0	6	0	0	330	0	0	1	0	0	0	0	0	0	0	0
PST130_01185	PST130_01185	mRNA	0	0	18	0	0	1083	0	0	1083	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0
PST130_01186	PST130_01186	mRNA	0	0	320	0	0	696	0	0	844	0	0	148	0	0	4	0	0	44	0	0	0	0	0	0	0	0	0	0	0
PST130_01187	PST130_01187	mRNA	0	0	5000	0	0	699	0	0	1100	0	0	401	0	0	8	0	0	2009	0	0	0	0	0	0	0	0	0	0	0
PST130_01188	PST130_01188	mRNA	0	0	3980	0	0	444	0	0	646	0	0	202	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01189	PST130_01189	mRNA	0	0	4265	2	0	1953	0	0	2371	0	0	418	0	0	12	0	0	5000	0	0	1	0	0	1	0	0	0	0	0
PST130_01190	PST130_01190	mRNA	0	0	21	0	0	1074	0	0	1279	0	0	205	0	0	6	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01191	PST130_01191	mRNA	2	0	5000	0	0	1575	0	0	1763	0	0	188	0	0	6	1	0	5000	2	0	0	0	0	0	0	0	0	0	1
PST130_01192	PST130_01192	mRNA	1	0	5000	0	0	1041	0	0	1174	0	0	133	0	0	4	0	0	5000	1	0	0	0	0	0	0	0	0	0	0
PST130_01193	PST130_01193	mRNA	0	0	5000	1	0	3204	0	0	4294	0	0	1090	0	0	20	2	0	5000	0	0	0	0	0	0	0	1	0	0	2
PST130_01194	PST130_01194	mRNA	0	0	1342	0	0	231	0	0	357	0	0	126	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01195	PST130_01195	mRNA	0	0	3632	0	0	183	0	0	245	0	0	62	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01196	PST130_01196	mRNA	0	0	999	0	0	588	0	0	830	0	0	242	0	0	6	0	0	322	0	0	0	0	0	0	0	0	0	0	0
PST130_01197	PST130_01197	mRNA	0	0	448	0	0	468	0	0	468	0	0	0	0	0	0	0	0	1037	0	0	0	0	0	0	0	0	0	0	0
PST130_01198	PST130_01198	mRNA	0	0	789	0	0	429	0	0	515	0	0	86	0	0	2	0	0	90	0	0	0	0	0	0	0	0	0	0	0
PST130_01199	PST130_01199	mRNA	4	0	4189	1	0	1581	0	0	2092	0	0	511	0	0	12	0	0	2533	4	0	1	0	0	0	0	0	0	0	0
PST130_01200	PST130_01200	mRNA	0	0	3070	4	0	663	0	0	950	0	0	287	0	0	10	0	0	4794	0	0	1	0	0	1	0	2	0	0	0
PST130_01201	PST130_01201	mRNA	0	0	650	0	0	510	0	0	762	0	0	252	0	0	4	5	0	5000	0	0	0	0	0	0	0	0	0	0	5
PST130_01202	PST130_01202	mRNA	1	0	3659	0	0	657	0	0	925	0	0	268	0	0	8	0	0	5000	1	0	0	0	0	0	0	0	0	0	0
PST130_01203	PST130_01203	mRNA	0	0	5000	1	0	216	0	0	406	0	0	190	0	0	4	0	0	72	0	0	1	0	0	0	0	0	0	0	0
PST130_01204	PST130_01204	mRNA	0	0	181	0	0	351	0	0	427	0	0	76	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01205	PST130_01205	mRNA	0	0	5000	0	0	177	0	0	177	0	0	0	0	0	0	0	0	1488	0	0	0	0	0	0	0	0	0	0	0
PST130_01206	PST130_01206	mRNA	0	0	4709	0	0	888	0	0	1501	0	0	613	0	0	12	1	0	5000	0	0	0	0	0	0	0	0	0	0	1
PST130_01207	PST130_01207	mRNA	0	0	852	0	0	1416	0	0	1478	0	0	62	0	0	2	3	0	3776	0	0	0	0	0	0	0	0	0	0	3
PST130_01208	PST130_01208	mRNA	0	0	2574	3	0	2586	0	0	3223	0	0	637	0	0	20	0	0	309	0	0	1	0	0	0	0	2	0	0	0
PST130_01209	PST130_01209	mRNA	0	0	19	0	0	183	0	0	183	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0
PST130_01210	PST130_01210	mRNA	0	0	939	0	0	252	0	0	252	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0
PST130_01211	PST130_01211	mRNA	0	0	2314	5	0	3084	5	0	3331	0	0	247	0	0	4	0	0	195	0	0	0	0	0	0	0	5	0	0	0
PST130_01212	PST130_01212	mRNA	0	0	1611	0	0	426	0	0	758	0	0	332	0	0	8	0	0	93	0	0	0	0	0	0	0	0	0	0	0
PST130_01213	PST130_01213	mRNA	0	0	1694	0	0	267	0	0	348	0	0	81	0	0	2	0	0	420	0	0	0	0	0	0	0	0	0	0	0
PST130_01214	PST130_01214	mRNA	0	0	1202	0	0	2373	0	0	2541	0	0	168	0	0	4	0	0	3654	0	0	0	0	0	0	0	0	0	0	0
PST130_01215	PST130_01215	mRNA	0	0	44	1	0	3405	0	0	3868	0	0	463	0	0	12	0	0	759	0	0	1	0	0	0	0	0	0	0	0
PST130_01216	PST130_01216	mRNA	0	0	77	0	0	315	0	0	395	0	0	80	0	0	2	1	0	4199	0	0	0	0	0	0	0	0	0	0	1
PST130_01217	PST130_01217	mRNA	0	0	1165	5	0	1341	5	0	1523	0	0	182	0	0	6	0	0	57	0	0	4	0	0	0	0	1	0	0	0
PST130_01218	PST130_01218	mRNA	0	0	5000	0	0	375	0	0	375	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
PST130_01219	PST130_01219	mRNA	0	0	2769	1	0	999	0	0	1652	0	0	653	0	0	10	0	0	1460	0	0	0	0	0	0	0	1	0	0	0
PST130_01220	PST130_01220	mRNA	1	0	3845	0	0	777	0	0	1125	0	0	348	0	0	6	0	0	911	1	0	0	0	0	0	0	0	0	0	0
PST130_01221	PST130_01221	mRNA	0	0	597	1	0	1203	1	0	1289	0	0	86	0	0	2	0	0	86	0	0	1	0	0	0	0	0	0	0	0
PST130_01222	PST130_01222	mRNA	0	0	5000	1	0	1626	0	0	2137	0	0	511	0	0	10	0	0	4368	0	0	0	0	0	0	0	1	0	0	0
PST130_01223	PST130_01223	mRNA	0	0	1567	0	0	420	0	0	584	0	0	164	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01224	PST130_01224	mRNA	0	0	341	0	0	198	0	0	351	0	0	153	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01225	PST130_01225	mRNA	0	0	268	0	0	963	0	0	1187	0	0	224	0	0	6	1	0	5000	0	0	0	0	0	0	0	0	0	0	1
PST130_01226	PST130_01226	mRNA	0	0	3391	0	0	822	0	0	1045	0	0	223	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01227	PST130_01227	mRNA	0	0	2507	0	0	996	0	0	1348	0	0	352	0	0	8	5	0	2974	0	0	0	0	0	0	0	0	0	0	5
PST130_01228	PST130_01228	mRNA	0	0	4021	5	0	1104	0	0	1561	0	0	457	0	0	6	0	0	1247	0	0	4	0	0	0	0	1	0	0	0
PST130_01229	PST130_01229	mRNA	0	0	2535	0	0	1326	0	0	1399	0	0	73	0	0	2	0	0	969	0	0	0	0	0	0	0	0	0	0	0
PST130_01230	PST130_01230	mRNA	0	0	40	0	0	384	0	0	384	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0
PST130_01231	PST130_01231	mRNA	0	0	122	0	0	606	0	0	828	0	0	222	0	0	6	0	0	267	0	0	0	0	0	0	0	0	0	0	0
PST130_01232	PST130_01232	mRNA	0	0	71	0	0	1827	0	0	1827	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0
PST130_01233	PST130_01233	mRNA	0	0	67	0	0	1170	0	0	1321	0	0	151	0	0	4	0	0	345	0	0	0	0	0	0	0	0	0	0	0
PST130_01234	PST130_01234	mRNA	0	0	1918	0	0	2235	0	0	2524	0	0	289	0	0	8	0	0	1061	0	0	0	0	0	0	0	0	0	0	0
PST130_01235	PST130_01235	mRNA	0	0	4584	0	0	861	0	0	876	0	0	15	0	0	2	0	0	43	0	0	0	0	0	0	0	0	0	0	0
PST130_01236	PST130_01236	mRNA	0	0	4900	1	0	558	0	0	715	0	0	157	0	0	4	0	0	5000	0	0	1	0	0	0	0	0	0	0	0
PST130_01237	PST130_01237	mRNA	0	0	55	1	0	2670	0	0	2742	0	0	72	0	0	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0
PST130_01238	PST130_01238	mRNA	1	0	3212	0	0	546	0	0	621	0	0	75	0	0	2	1	0	5000	1	0	0	0	0	0	0	0	0	0	1
PST130_01239	PST130_01239	mRNA	1	0	5000	0	0	501	0	0	621	0	0	120	0	0	6	0	0	1770	1	0	0	0	0	0	0	0	0	0	0
PST130_01240	PST130_01240	mRNA	0	0	4637	2	0	1470	2	0	1671	0	0	201	0	0	4	0	0	4137	0	0	1	0	0	0	0	1	0	0	0
PST130_01241	PST130_01241	mRNA	0	0	33	1	0	2199	1	0	3546	0	0	1347	0	0	8	0	0	1423	0	0	0	0	0	0	0	1	0	0	0
PST130_01242	PST130_01242	mRNA	0	0	122	3	0	1422	3	0	1735	0	0	313	0	0	8	0	0	629	0	0	2	0	0	0	0	1	0	0	0
PST130_01243	PST130_01243	mRNA	0	0	364	0	0	600	0	0	661	0	0	61	0	0	2	0	0	31	0	0	0	0	0	0	0	0	0	0	0
PST130_01244	PST130_01244	mRNA	0	0	486	0	0	1104	0	0	1199	0	0	95	0	0	4	0	0	269	0	0	0	0	0	0	0	0	0	0	0
PST130_01245	PST130_01245	mRNA	0	0	584	0	0	1179	0	0	1255	0	0	76	0	0	2	0	0	89	0	0	0	0	0	0	0	0	0	0	0
PST130_01246	PST130_01246	mRNA	0	0	29	0	0	912	0	0	912	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0
PST130_01247	PST130_01247	mRNA	0	0	38	0	0	345	0	0	584	0	0	239	0	0	6	0	0	128	0	0	0	0	0	0	0	0	0	0	0
PST130_01248	PST130_01248	mRNA	0	0	2786	2	0	1425	0	0	1647	0	0	222	0	0	4	0	0	5000	0	0	0	0	0	1	0	1	0	0	0
PST130_01249	PST130_01249	mRNA	0	0	773	0	0	510	0	0	618	0	0	108	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01250	PST130_01250	mRNA	0	0	137	0	0	372	0	0	501	0	0	129	0	0	4	2	0	5000	0	0	0	0	0	0	0	0	0	0	2
PST130_01251	PST130_01251	mRNA	0	0	4102	1	0	720	0	0	923	0	0	203	0	0	4	0	0	319	0	0	0	0	0	0	0	1	0	0	0
PST130_01252	PST130_01252	mRNA	1	0	1959	0	0	852	0	0	1275	0	0	423	0	0	10	0	0	2110	1	0	0	0	0	0	0	0	0	0	0
PST130_01253	PST130_01253	mRNA	0	0	660	0	0	2118	0	0	2381	0	0	263	0	0	6	0	0	916	0	0	0	0	0	0	0	0	0	0	0
PST130_01254	PST130_01254	mRNA	0	0	16	0	0	834	0	0	1195	0	0	361	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0
PST130_01255	PST130_01255	mRNA	0	0	856	0	0	420	0	0	897	0	0	477	0	0	6	0	0	21	0	0	0	0	0	0	0	0	0	0	0
PST130_01256	PST130_01256	mRNA	0	0	12	0	0	378	0	0	436	0	0	58	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_01257	PST130_01257	mRNA	0	0	4452	0	0	1116	0	0	1262	0	0	146	0	0	6	0	0	418	0	0	0	0	0	0	0	0	0	0	0
PST130_01258	PST130_01258	mRNA	0	0	1473	1	0	843	1	0	843	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	1	0	0	0
PST130_01259	PST130_01259	mRNA	0	0	19	0	0	747	0	0	814	0	0	67	0	0	2	0	0	48	0	0	0	0	0	0	0	0	0	0	0
